,conc,mass,conc_klypin,mvir_all,m200c,Xoff,Voff,T/U,rvir
1631506,7.491846993052891,1046042181632.0,7.920966653499243,1046920560640.0,858548994048.0,20.004058837890625,19.41914176940918,0.5721734762191772,205.61058044433594
264569,8.374413292831589,1202025791488.0,8.158332575866067,1204479459328.0,1040081420288.0,9.780365943908691,7.717486381530762,0.5606977343559265,215.36097717285156
1725139,10.170184021184918,908368609280.0,10.631233134430957,908951683072.0,794998996992.0,12.75515365600586,20.29698944091797,0.5647677779197693,196.16270446777344
447649,8.573133921255883,955733180416.0,7.828683537304668,956922986496.0,827339177984.0,17.202762603759766,17.154600143432617,0.5984145998954773,199.5145721435547
5320,12.10826673910893,878670512128.0,12.269177264619831,879071199232.0,779943346176.0,1.8364195823669434,3.517385482788086,0.5517916083335876,194.00120544433594
581141,10.195944288370988,914398969856.0,10.316837391424459,917432500224.0,800877248512.0,6.9848456382751465,16.362503051757812,0.5930341482162476,196.59584045410156
1130025,13.50744041778905,1141913419776.0,13.901045032773942,1141917876224.0,992626147328.0,1.2281726598739624,8.669890403747559,0.555079460144043,211.7093963623047
1387186,12.401051715929743,886979231744.0,12.401051715929743,887038083072.0,761053446144.0,4.2133049964904785,2.3271849155426025,0.5677315592765808,194.61077880859375
581180,11.713712706787978,888182800384.0,11.69017920825143,889831948288.0,778172628992.0,5.781566619873047,10.487770080566406,0.5543667674064636,194.69876098632812
1725372,12.522003433377698,791520739328.0,12.977032723827405,792752357376.0,699896168448.0,5.094275951385498,46.58866500854492,0.6316302418708801,187.3627166748047
1354437,11.402435727358293,1183037259776.0,11.366355166669702,1183052595200.0,1043169542144.0,1.9721004962921143,3.1636009216308594,0.5410900115966797,214.22091674804688
1725272,12.850291358800787,780937330688.0,12.756152919016785,780985565184.0,701218750464.0,1.7123996019363403,8.208868980407715,0.5591127872467041,186.52389526367188
1195448,9.135123954297635,503562141696.0,9.275545159334674,503565549568.0,432547168256.0,4.334799289703369,4.0444793701171875,0.5421625971794128,161.14373779296875
1599988,12.970638950820694,1106306269184.0,12.591365501558174,1109237301248.0,1015410393088.0,11.02602767944336,14.752367973327637,0.6196452975273132,209.48561096191406
796175,,,,,,,,,
388476,,,,,,,,,
1079897,,,,,,,,,
94638,10.467630353102562,787977469952.0,10.70683086280475,789409103872.0,632173363200.0,8.839558601379395,10.914502143859863,0.5717414021492004,187.0827178955078
95289,13.324336715167476,512202047488.0,13.073674626907698,512208306176.0,444095234048.0,2.7076187133789062,15.603415489196777,0.5632738471031189,162.0601348876953
1232164,,,,,,,,,
1422331,10.6656453828866,1002992697344.0,11.267425039006852,1003016028160.0,859829043200.0,3.4693188667297363,6.14767599105835,0.5454567074775696,202.75038146972656
196589,12.489048295754271,1078589063168.0,12.762991218615584,1079485005824.0,959952322560.0,8.161652565002441,3.3717312812805176,0.5648024082183838,207.72132873535156
1268839,11.3777999732735,895065915392.0,12.104573543086627,895065915392.0,758390915072.0,4.535645484924316,9.20471477508545,0.5515396595001221,195.20042419433594
1292085,,,,,,,,,
